name = who
year = 2011
yname = hgt
sex = male
distribution = LMS
citation = WHO
publication = http://www.who.int and supplement by Gerko Vink for WFA 10-19
[data]
x	L	M	S
1.1745	1	78.1546	0.03176
1.1773	1	78.1911	0.03177
1.18	1	78.2275	0.03177
1.1828	1	78.2638	0.03178
1.1855	1	78.3001	0.03179
1.1882	1	78.3364	0.0318
1.191	1	78.3727	0.0318
1.1937	1	78.4089	0.03181
1.1964	1	78.4451	0.03182
1.1992	1	78.4812	0.03183
1.2019	1	78.5173	0.03183
1.2047	1	78.5534	0.03184
1.2074	1	78.5894	0.03185
1.2101	1	78.6254	0.03186
1.2129	1	78.6614	0.03186
1.2156	1	78.6973	0.03187
1.2183	1	78.7332	0.03188
1.2211	1	78.7691	0.03189
1.2238	1	78.8049	0.03189
1.2266	1	78.8407	0.0319
1.2293	1	78.8764	0.03191
1.232	1	78.9122	0.03192
1.2348	1	78.9479	0.03192
1.2375	1	78.9835	0.03193
1.2402	1	79.0191	0.03194
1.243	1	79.0547	0.03195
1.2457	1	79.0903	0.03196
1.2485	1	79.1258	0.03196
1.2512	1	79.1613	0.03197
1.2539	1	79.1968	0.03198
1.2567	1	79.2322	0.03199
1.2594	1	79.2676	0.032
1.2621	1	79.303	0.032
1.2649	1	79.3383	0.03201
1.2676	1	79.3736	0.03202
1.2704	1	79.4089	0.03203
1.2731	1	79.4441	0.03204
1.2758	1	79.4793	0.03204
1.2786	1	79.5145	0.03205
1.2813	1	79.5496	0.03206
1.2841	1	79.5847	0.03207
1.2868	1	79.6198	0.03208
1.2895	1	79.6548	0.03209
1.2923	1	79.6898	0.03209
1.295	1	79.7248	0.0321
1.2977	1	79.7598	0.03211
1.3005	1	79.7947	0.03212
1.3032	1	79.8296	0.03213
1.306	1	79.8644	0.03214
1.3087	1	79.8993	0.03214
1.3114	1	79.9341	0.03215
1.3142	1	79.9688	0.03216
1.3169	1	80.0036	0.03217
1.3196	1	80.0383	0.03218
1.3224	1	80.0729	0.03219
1.3251	1	80.1076	0.0322
1.3279	1	80.1422	0.0322
1.3306	1	80.1768	0.03221
1.3333	1	80.2113	0.03222
1.3361	1	80.2459	0.03223
1.3388	1	80.2804	0.03224
1.3415	1	80.3148	0.03225
1.3443	1	80.3493	0.03226
1.347	1	80.3837	0.03226
1.3498000000000001	1	80.4181	0.03227
1.3525	1	80.4524	0.03228
1.3552	1	80.4867	0.03229
1.358	1	80.521	0.0323
1.3607	1	80.5553	0.03231
1.3634	1	80.5895	0.03232
1.3662	1	80.6237	0.03233
1.3689	1	80.6578	0.03234
1.3717	1	80.692	0.03234
1.3744	1	80.7261	0.03235
1.3771	1	80.7602	0.03236
1.3799	1	80.7942	0.03237
1.3826	1	80.8282	0.03238
1.3854	1	80.8622	0.03239
1.3881	1	80.8961	0.0324
1.3908	1	80.9301	0.03241
1.3936	1	80.964	0.03242
1.3963	1	80.9978	0.03243
1.399	1	81.0317	0.03244
1.4018	1	81.0655	0.03245
1.4045	1	81.0992	0.03245
1.4073	1	81.133	0.03246
1.41	1	81.1667	0.03247
1.4127	1	81.2004	0.03248
1.4155	1	81.234	0.03249
1.4182	1	81.2677	0.0325
1.4209	1	81.3013	0.03251
1.4237	1	81.3348	0.03252
1.4264	1	81.3684	0.03253
1.4292	1	81.4019	0.03254
1.4319	1	81.4353	0.03255
1.4346	1	81.4688	0.03256
1.4374	1	81.5022	0.03257
1.4401	1	81.5356	0.03258
1.4428	1	81.569	0.03259
1.4456	1	81.6023	0.0326
1.4483	1	81.6356	0.03261
1.4511	1	81.6689	0.03261
1.4538	1	81.7021	0.03262
1.4565	1	81.7353	0.03263
1.4593	1	81.7685	0.03264
1.462	1	81.8017	0.03265
1.4648	1	81.8348	0.03266
1.4675	1	81.8679	0.03267
1.4702	1	81.9009	0.03268
1.473	1	81.934	0.03269
1.4757	1	81.967	0.0327
1.4784	1	82	0.03271
1.4812	1	82.0329	0.03272
1.4839	1	82.0659	0.03273
1.4867	1	82.0987	0.03274
1.4894	1	82.1316	0.03275
1.4921	1	82.1644	0.03276
1.4949	1	82.1973	0.03277
1.4976	1	82.23	0.03278
1.5003	1	82.2628	0.03279
1.5031	1	82.2955	0.0328
1.5058	1	82.3282	0.03281
1.5086	1	82.3609	0.03282
1.5113	1	82.3935	0.03283
1.514	1	82.4261	0.03284
1.5168	1	82.4587	0.03285
1.5195	1	82.4912	0.03286
1.5222	1	82.5237	0.03287
1.525	1	82.5562	0.03288
1.5277	1	82.5887	0.03289
1.5305	1	82.6211	0.0329
1.5332	1	82.6535	0.03291
1.5359	1	82.6859	0.03292
1.5387	1	82.7182	0.03293
1.5414	1	82.7505	0.03294
1.5441	1	82.7828	0.03295
1.5469	1	82.8151	0.03296
1.5496	1	82.8473	0.03297
1.5524	1	82.8795	0.03298
1.5551	1	82.9117	0.03299
1.5578	1	82.9438	0.033
1.5606	1	82.9759	0.03301
1.5633	1	83.008	0.03302
1.5661	1	83.04	0.03303
1.5688	1	83.0721	0.03304
1.5715	1	83.1041	0.03305
1.5743	1	83.136	0.03306
1.577	1	83.168	0.03308
1.5797	1	83.1999	0.03309
1.5825	1	83.2318	0.0331
1.5852	1	83.2637	0.03311
1.588	1	83.2955	0.03312
1.5907	1	83.3273	0.03313
1.5934	1	83.3591	0.03314
1.5962	1	83.3908	0.03315
1.5989	1	83.4226	0.03316
1.6016	1	83.4543	0.03317
1.6044	1	83.4859	0.03318
1.6071	1	83.5176	0.03319
1.6099	1	83.5492	0.0332
1.6126	1	83.5808	0.03321
1.6153	1	83.6124	0.03322
1.6181	1	83.6439	0.03323
1.6208	1	83.6754	0.03324
1.6235	1	83.7069	0.03325
1.6263	1	83.7384	0.03326
1.629	1	83.7698	0.03327
1.6318	1	83.8012	0.03329
1.6345	1	83.8326	0.0333
1.6372	1	83.864	0.03331
1.64	1	83.8953	0.03332
1.6427	1	83.9267	0.03333
1.6454	1	83.9579	0.03334
1.6482	1	83.9892	0.03335
1.6509	1	84.0205	0.03336
1.6537	1	84.0517	0.03337
1.6564	1	84.0829	0.03338
1.6591	1	84.114	0.03339
1.6619	1	84.1452	0.0334
1.6646	1	84.1763	0.03341
1.6674	1	84.2074	0.03342
1.6701	1	84.2385	0.03344
1.6728	1	84.2695	0.03345
1.6756	1	84.3006	0.03346
1.6783	1	84.3316	0.03347
1.681	1	84.3626	0.03348
1.6838	1	84.3935	0.03349
1.6865	1	84.4245	0.0335
1.6893	1	84.4554	0.03351
1.692	1	84.4862	0.03352
1.6947	1	84.5171	0.03353
1.6975	1	84.5479	0.03354
1.7002	1	84.5787	0.03356
1.7029	1	84.6095	0.03357
1.7057	1	84.6403	0.03358
1.7084	1	84.671	0.03359
1.7112	1	84.7017	0.0336
1.7139	1	84.7324	0.03361
1.7166	1	84.7631	0.03362
1.7194	1	84.7937	0.03363
1.7221	1	84.8243	0.03364
1.7248000000000001	1	84.8549	0.03365
1.7276	1	84.8855	0.03367
1.7303	1	84.916	0.03368
1.7331	1	84.9465	0.03369
1.7358	1	84.977	0.0337
1.7385	1	85.0075	0.03371
1.7413	1	85.0379	0.03372
1.744	1	85.0683	0.03373
1.7467	1	85.0987	0.03374
1.7495	1	85.1291	0.03375
1.7522	1	85.1594	0.03377
1.755	1	85.1897	0.03378
1.7577	1	85.22	0.03379
1.7604	1	85.2503	0.0338
1.7632	1	85.2805	0.03381
1.7659	1	85.3108	0.03382
1.7687	1	85.341	0.03383
1.7714	1	85.3711	0.03384
1.7741	1	85.4013	0.03385
1.7769	1	85.4314	0.03387
1.7796	1	85.4615	0.03388
1.7823	1	85.4916	0.033890000000000003
1.7851	1	85.5217	0.0339
1.7878	1	85.5517	0.03391
1.7906	1	85.5817	0.03392
